,user_id,ts,ab,landing_page,converted
158,9000314137,1356998470.0,treatment,new_page,0
157,4109748013,1356998470.0,treatment,new_page,0
160,9785435568,1356998471.0,treatment,new_page,0
161,9763953686,1356998471.0,control,old_page,0
162,119600110,1356998471.0,treatment,new_page,0
163,2266669825,1356998472.0,treatment,new_page,1
164,119600110,1356998472.0,treatment,old_page,1
168,6874551547,1356998473.0,control,old_page,0
167,6274016071,1356998473.0,control,old_page,0
169,7395980314,1356998473.0,treatment,new_page,0
165,4373326870,1356998473.0,treatment,new_page,0
166,9695000537,1356998473.0,control,old_page,0
170,3184941669,1356998474.0,treatment,new_page,0
171,8223141129,1356998474.0,control,old_page,0
172,8502288077,1356998474.0,control,old_page,0
173,9911691237,1356998474.0,treatment,new_page,0
174,7395980314,1356998474.0,treatment,old_page,0
175,1573679438,1356998475.0,treatment,new_page,0
176,2785502318,1356998475.0,treatment,new_page,0
177,9911691237,1356998475.0,treatment,old_page,0
178,9390849229,1356998476.0,treatment,new_page,0
179,461326516,1356998476.0,treatment,new_page,0
184,3353049688,1356998477.0,control,old_page,0
183,8119184023,1356998477.0,control,old_page,1
185,7328783891,1356998477.0,control,old_page,0
181,95755160,1356998477.0,treatment,new_page,1
182,1656214343,1356998477.0,control,old_page,0
180,3558018229,1356998477.0,treatment,new_page,1
186,4909647740,1356998478.0,treatment,new_page,0
187,2295229691,1356998478.0,control,old_page,0
188,9998027587,1356998478.0,control,old_page,0
189,6561132458,1356998479.0,treatment,new_page,0
190,6686867548,1356998479.0,control,old_page,0
191,517222611,1356998480.0,treatment,new_page,0
192,9059999131,1356998480.0,control,old_page,1
193,5774549502,1356998483.0,control,old_page,0
194,4883785825,1356998484.0,control,old_page,0
195,9088508608,1356998484.0,control,old_page,0
197,7913433595,1356998485.0,control,old_page,1
196,39320157,1356998485.0,treatment,new_page,0
198,9799603168,1356998486.0,treatment,new_page,0
199,1453388843,1356998486.0,treatment,new_page,0
200,2694109969,1356998486.0,control,old_page,0
201,4729060587,1356998486.0,control,old_page,0
202,9711401153,1356998489.0,control,old_page,0
203,9373887377,1356998490.0,treatment,new_page,0
204,7493552589,1356998490.0,control,old_page,0
205,5074084944,1356998490.0,control,old_page,0
206,6044839637,1356998490.0,treatment,new_page,0
209,6044839637,1356998491.0,treatment,old_page,0
207,6847270045,1356998491.0,treatment,new_page,0
208,5550992165,1356998491.0,control,old_page,0
210,5487435488,1356998492.0,treatment,new_page,0
211,310136382,1356998492.0,control,old_page,0
212,4505844384,1356998493.0,treatment,new_page,0
213,6143036340,1356998493.0,control,old_page,0
214,7932207352,1356998494.0,control,old_page,0
218,1477304788,1356998495.0,control,old_page,1
215,5248337050,1356998495.0,treatment,new_page,0
216,663133101,1356998495.0,treatment,new_page,0
217,4840688508,1356998495.0,control,old_page,0
221,1389464333,1356998496.0,treatment,new_page,0
219,4244385019,1356998496.0,treatment,new_page,0
220,9373462794,1356998496.0,control,old_page,0
222,5012011507,1356998497.0,treatment,new_page,1
223,382639996,1356998497.0,control,old_page,0
224,2901198356,1356998497.0,control,old_page,0
225,1389464333,1356998497.0,treatment,old_page,0
227,2543269133,1356998498.0,treatment,new_page,0
226,7476069652,1356998498.0,treatment,new_page,0
228,5416646465,1356998498.0,treatment,new_page,1
232,7375411750,1356998499.0,control,old_page,0
231,3055554105,1356998499.0,control,old_page,0
230,6718414889,1356998499.0,control,old_page,0
229,194561051,1356998499.0,treatment,new_page,0
233,3780373272,1356998500.0,treatment,new_page,1
234,9700785999,1356998500.0,treatment,new_page,0
235,2097689547,1356998501.0,treatment,new_page,0
236,9700355718,1356998502.0,treatment,new_page,0
237,6493755097,1356998502.0,treatment,new_page,0
238,4877090028,1356998503.0,treatment,new_page,1
239,1049595969,1356998504.0,treatment,new_page,0
240,4772873076,1356998504.0,treatment,new_page,1
241,1555538920,1356998506.0,treatment,new_page,0
242,3269817771,1356998506.0,control,old_page,0
245,4515257718,1356998507.0,control,old_page,1
243,4363856779,1356998507.0,treatment,new_page,0
244,8331519549,1356998507.0,control,old_page,0
246,5550260197,1356998508.0,treatment,new_page,0
247,6023739993,1356998508.0,treatment,new_page,0
248,5722067684,1356998509.0,treatment,new_page,0
249,394167453,1356998509.0,control,old_page,0
250,6023739993,1356998509.0,treatment,old_page,0
251,1879667134,1356998510.0,control,old_page,0
253,1604220802,1356998511.0,control,old_page,0
252,6008340428,1356998511.0,treatment,new_page,0
255,9596273843,1356998512.0,treatment,new_page,0
254,2362352891,1356998512.0,treatment,new_page,0
256,5098360516,1356998513.0,treatment,new_page,0
257,5894140906,1356998513.0,treatment,new_page,0
258,8391243045,1356998513.0,control,old_page,0
259,6454747792,1356998513.0,control,old_page,0
260,5848824964,1356998514.0,control,old_page,0
261,6150780497,1356998514.0,control,old_page,1
262,6232918794,1356998514.0,control,old_page,1
263,6862167695,1356998515.0,treatment,new_page,0
265,4137434168,1356998516.0,control,old_page,0
266,5980462024,1356998516.0,treatment,new_page,0
264,7834040520,1356998516.0,treatment,new_page,1
267,5980462024,1356998517.0,treatment,old_page,0
268,7792533420,1356998518.0,treatment,new_page,0
269,951881877,1356998518.0,control,old_page,0
270,5042387880,1356998520.0,treatment,new_page,0
271,8606421188,1356998520.0,control,old_page,0
272,8151287604,1356998522.0,treatment,new_page,0
273,4202218957,1356998523.0,control,old_page,1
274,9752648717,1356998524.0,control,old_page,0
276,4042293930,1356998525.0,control,old_page,0
275,9967311528,1356998525.0,control,old_page,0
278,6257488115,1356998526.0,control,old_page,0
277,559762239,1356998526.0,treatment,new_page,0
279,5502720452,1356998527.0,treatment,new_page,0
280,6226029061,1356998528.0,treatment,new_page,0
281,8728430707,1356998528.0,treatment,new_page,0
282,5502720452,1356998528.0,treatment,old_page,0
283,5373889501,1356998529.0,treatment,new_page,1
284,4440753993,1356998529.0,control,old_page,0
285,300563327,1356998530.0,treatment,new_page,1
288,4020786788,1356998531.0,control,old_page,0
289,7212390474,1356998531.0,control,old_page,1
286,4696036752,1356998531.0,treatment,new_page,0
287,8538515531,1356998531.0,treatment,new_page,0
290,7548678804,1356998532.0,treatment,new_page,0
291,9033271847,1356998532.0,treatment,new_page,0
292,5665786760,1356998533.0,treatment,new_page,0
293,1604193284,1356998534.0,treatment,new_page,0
294,808507772,1356998534.0,control,old_page,0
298,1016592488,1356998535.0,treatment,new_page,0
295,3499900058,1356998535.0,treatment,new_page,0
296,3157680428,1356998535.0,treatment,new_page,0
297,6143370413,1356998535.0,control,old_page,0
301,1016592488,1356998536.0,treatment,old_page,0
300,4268911015,1356998536.0,treatment,new_page,0
299,6690823867,1356998536.0,treatment,new_page,0
302,7135819960,1356998537.0,treatment,new_page,0
303,2343323282,1356998537.0,treatment,new_page,0
304,483611277,1356998537.0,control,old_page,0
305,6777548066,1356998537.0,control,old_page,0
306,1567080852,1356998538.0,treatment,new_page,0
307,4388762712,1356998538.0,treatment,new_page,0
308,5636838370,1356998538.0,control,old_page,0
312,3603225725,1356998539.0,control,old_page,1
311,75611202,1356998539.0,control,old_page,0
309,812694069,1356998539.0,treatment,new_page,0
310,9014698227,1356998539.0,control,old_page,0
313,6679030585,1356998540.0,control,old_page,0
314,6343186642,1356998540.0,control,old_page,0
315,9317344544,1356998541.0,treatment,new_page,0
316,7231063831,1356998542.0,treatment,new_page,0
317,5577757144,1356998542.0,control,old_page,0
318,4866787733,1356998543.0,treatment,new_page,0
319,4546298364,1356998543.0,treatment,new_page,0
320,3232644927,1356998543.0,control,old_page,0
321,7813922560,1356998544.0,treatment,new_page,0
324,8365054142,1356998545.0,control,old_page,0
325,4815405991,1356998545.0,treatment,new_page,0
322,6861895113,1356998545.0,treatment,new_page,0
323,757934551,1356998545.0,control,old_page,0
326,2872266034,1356998546.0,treatment,new_page,0
327,8000054080,1356998546.0,control,old_page,0
328,4815405991,1356998546.0,treatment,old_page,0
334,2791299741,1356998547.0,control,old_page,0
333,9614118079,1356998547.0,control,old_page,0
332,3707519923,1356998547.0,treatment,new_page,0
335,16126521,1356998547.0,control,old_page,0
330,5469374564,1356998547.0,treatment,new_page,1
329,662316212,1356998547.0,treatment,new_page,0
331,2823765443,1356998547.0,treatment,new_page,0
337,9819127314,1356998548.0,treatment,new_page,1
338,6517772339,1356998548.0,treatment,new_page,0
339,8128665388,1356998548.0,control,old_page,1
340,423558515,1356998548.0,treatment,new_page,0
336,7980666128,1356998548.0,treatment,new_page,0
341,9486429750,1356998549.0,treatment,new_page,0
342,7116149864,1356998549.0,control,old_page,0
343,423558515,1356998549.0,treatment,old_page,0
346,6394382527,1356998550.0,control,old_page,0
344,1625570243,1356998550.0,treatment,new_page,0
345,7184583989,1356998550.0,treatment,new_page,0
348,1108082966,1356998551.0,treatment,new_page,0
347,8680206588,1356998551.0,treatment,new_page,0
349,3325934310,1356998552.0,treatment,new_page,0
350,8936429897,1356998553.0,treatment,new_page,0
351,4592372200,1356998554.0,treatment,new_page,0
352,4185529079,1356998554.0,treatment,new_page,0
353,1265151736,1356998554.0,treatment,new_page,0
354,7762495014,1356998554.0,control,old_page,0
355,5472975362,1356998554.0,control,old_page,0
356,9415617038,1356998554.0,control,old_page,0
361,6550341558,1356998555.0,control,old_page,0
359,6277514589,1356998555.0,treatment,new_page,0
360,8155664795,1356998555.0,treatment,new_page,0
357,4325558695,1356998555.0,treatment,new_page,0
358,4760670897,1356998555.0,treatment,new_page,0
362,1220848698,1356998556.0,control,old_page,0
363,6833123732,1356998557.0,control,old_page,0
364,504294173,1356998558.0,control,old_page,0
365,2489524912,1356998559.0,treatment,new_page,0
366,4684390489,1356998559.0,control,old_page,0
367,3466453892,1356998559.0,control,old_page,0
368,2629155063,1356998560.0,treatment,new_page,0
369,3318567288,1356998560.0,control,old_page,0
370,9935588180,1356998561.0,treatment,new_page,0
371,9382031821,1356998561.0,control,old_page,0
372,5079885235,1356998562.0,control,old_page,0
373,6685321128,1356998563.0,treatment,new_page,0
374,3787521883,1356998563.0,treatment,new_page,0
375,4759782881,1356998563.0,control,old_page,0
376,614810584,1356998564.0,treatment,new_page,0
377,8126208929,1356998564.0,control,old_page,0
378,8924465301,1356998565.0,treatment,new_page,0
379,7299373171,1356998565.0,control,old_page,0
380,8802040082,1356998565.0,control,old_page,0
381,6209155731,1356998565.0,control,old_page,0
382,8061510092,1356998565.0,control,old_page,0
383,1398203757,1356998566.0,control,old_page,0
384,3433519057,1356998568.0,treatment,new_page,0
385,4542564899,1356998569.0,treatment,new_page,0
386,7257232382,1356998569.0,treatment,new_page,0
387,130409729,1356998571.0,treatment,new_page,0
388,9806761800,1356998571.0,treatment,new_page,0
389,323768728,1356998572.0,treatment,new_page,0
390,4333902870,1356998572.0,control,old_page,0
391,8564115947,1356998573.0,treatment,new_page,0
392,2182727999,1356998573.0,control,old_page,0
393,1199998457,1356998573.0,control,old_page,0
396,6610515101,1356998574.0,control,old_page,0
394,5202672745,1356998574.0,treatment,new_page,0
395,5964872793,1356998574.0,control,old_page,0
397,1777455811,1356998575.0,treatment,new_page,0
398,4250193485,1356998575.0,control,old_page,0
399,2085643255,1356998575.0,control,old_page,0
400,9523622990,1356998576.0,control,old_page,0
401,7490003393,1356998576.0,control,old_page,0
405,1983655316,1356998577.0,treatment,new_page,0
402,4929006095,1356998577.0,treatment,new_page,0
403,6879968597,1356998577.0,treatment,new_page,0
404,1633673715,1356998577.0,treatment,new_page,0
406,2314471905,1356998578.0,control,old_page,0
407,5930368940,1356998579.0,treatment,new_page,0
408,500461175,1356998579.0,treatment,new_page,0
409,1740106861,1356998579.0,treatment,new_page,0
410,656580604,1356998579.0,treatment,new_page,0
411,2501338173,1356998580.0,control,old_page,0
412,875282856,1356998581.0,treatment,new_page,1
413,4619076783,1356998581.0,control,old_page,0
414,1932446505,1356998581.0,control,old_page,0
415,6303682597,1356998582.0,treatment,new_page,0
417,2888287907,1356998583.0,treatment,new_page,0
418,6324837292,1356998583.0,control,old_page,0
416,3629738279,1356998583.0,treatment,new_page,0
419,2193261683,1356998584.0,control,old_page,0
420,7719360683,1356998587.0,treatment,new_page,1
421,8643779282,1356998587.0,control,old_page,0
422,3736286298,1356998588.0,control,old_page,0
423,2675262308,1356998588.0,control,old_page,0
424,8371906092,1356998589.0,treatment,new_page,0
425,410669944,1356998589.0,control,old_page,0
427,4099198685,1356998590.0,treatment,new_page,0
428,2596531110,1356998590.0,control,old_page,0
426,6000840941,1356998590.0,treatment,new_page,0
429,1181207893,1356998591.0,treatment,new_page,0
430,5564225421,1356998591.0,treatment,new_page,0
431,5293028606,1356998593.0,treatment,new_page,0
432,5527308062,1356998593.0,treatment,new_page,0
433,6827779098,1356998593.0,control,old_page,0
434,8888313712,1356998593.0,control,old_page,0
435,9814352670,1356998594.0,control,old_page,0
436,6672442558,1356998594.0,treatment,new_page,0
437,6672442558,1356998595.0,treatment,old_page,0
438,456019575,1356998596.0,treatment,new_page,0
441,3312279980,1356998597.0,control,old_page,0
439,2388759304,1356998597.0,treatment,new_page,0
440,7754928241,1356998597.0,control,old_page,0
442,3984352651,1356998599.0,treatment,new_page,0
443,7649018476,1356998600.0,treatment,new_page,0
444,339446072,1356998600.0,control,old_page,0
445,9878018266,1356998600.0,control,old_page,0
446,3984352651,1356998600.0,treatment,old_page,0
447,1485260881,1356998601.0,treatment,new_page,1
448,9198059905,1356998602.0,treatment,new_page,0
449,5942677280,1356998602.0,control,old_page,0
450,9889804535,1356998603.0,control,old_page,0
452,647419812,1356998605.0,treatment,new_page,0
451,9989081777,1356998605.0,treatment,new_page,0
453,7756379319,1356998606.0,treatment,new_page,0
454,4969857899,1356998606.0,control,old_page,0
455,3778442212,1356998606.0,control,old_page,0
456,8418722276,1356998606.0,treatment,new_page,0
457,6376304554,1356998607.0,control,old_page,0
458,6989895534,1356998607.0,control,old_page,0
459,8418722276,1356998607.0,treatment,old_page,0
460,1330405581,1356998608.0,treatment,new_page,0
461,1856824849,1356998608.0,treatment,new_page,0
463,85176360,1356998609.0,treatment,new_page,0
462,8626807937,1356998609.0,treatment,new_page,1
464,1232217189,1356998609.0,control,old_page,0
465,1322935352,1356998610.0,control,old_page,0
466,6448573770,1356998611.0,treatment,new_page,0
467,6368867580,1356998611.0,control,old_page,0
468,2202744086,1356998611.0,control,old_page,0
469,6451006201,1356998613.0,control,old_page,0
476,1994496197,1356998614.0,treatment,new_page,0
474,4100755400,1356998614.0,treatment,new_page,0
473,3297861398,1356998614.0,treatment,new_page,0
475,9286756227,1356998614.0,control,old_page,0
471,2867187073,1356998614.0,treatment,new_page,0
470,3948273745,1356998614.0,treatment,new_page,0
472,7009825376,1356998614.0,treatment,new_page,0
477,671224841,1356998615.0,treatment,new_page,0
478,8850910240,1356998615.0,control,old_page,0
479,1994496197,1356998615.0,treatment,old_page,0
480,5552313714,1356998618.0,treatment,new_page,0
481,6242442164,1356998618.0,treatment,new_page,0
482,8535248255,1356998618.0,treatment,new_page,0
483,7965143414,1356998618.0,control,old_page,0
484,292077723,1356998620.0,treatment,new_page,0
485,5943706350,1356998620.0,control,old_page,0
487,3229011081,1356998621.0,control,old_page,0
486,8853378079,1356998621.0,treatment,new_page,0
488,4970492886,1356998622.0,treatment,new_page,0
489,5062393716,1356998623.0,treatment,new_page,0
490,6818464019,1356998624.0,treatment,new_page,0
491,202262329,1356998625.0,control,old_page,0
492,9594368865,1356998626.0,treatment,new_page,0
493,3551281611,1356998626.0,treatment,new_page,0
494,7863769955,1356998626.0,control,old_page,0
495,1948560667,1356998626.0,control,old_page,0
496,3777110656,1356998627.0,treatment,new_page,0
499,6837767796,1356998628.0,control,old_page,1
497,9202531187,1356998628.0,treatment,new_page,0
498,8231133921,1356998628.0,treatment,new_page,0
500,7112989516,1356998630.0,treatment,new_page,0
501,1998321153,1356998630.0,treatment,new_page,0
502,6525009193,1356998631.0,control,old_page,0
505,6460807547,1356998632.0,treatment,new_page,0
503,8568216227,1356998632.0,treatment,new_page,0
504,8289085957,1356998632.0,treatment,new_page,0
506,5997990442,1356998632.0,control,old_page,0
511,3172927783,1356998633.0,control,old_page,0
510,4283374399,1356998633.0,control,old_page,0
512,4519592375,1356998633.0,control,old_page,0
508,2322641832,1356998633.0,control,old_page,0
509,9583645004,1356998633.0,control,old_page,1
507,25386361,1356998633.0,treatment,new_page,0
513,3010564495,1356998634.0,treatment,new_page,0
514,4567067218,1356998634.0,control,old_page,0
515,5630356048,1356998636.0,treatment,new_page,0
516,6084900454,1356998636.0,control,old_page,0
517,3531132475,1356998636.0,control,old_page,0
518,2609219286,1356998636.0,control,old_page,1
519,9325233381,1356998637.0,treatment,new_page,0
520,2674893627,1356998637.0,control,old_page,0
521,3491726441,1356998637.0,control,old_page,0
523,6241999778,1356998638.0,treatment,new_page,0
526,3464559685,1356998638.0,control,old_page,1
525,1044294275,1356998638.0,control,old_page,0
522,2746610283,1356998638.0,treatment,new_page,0
524,9789189901,1356998638.0,treatment,new_page,0
527,6157227494,1356998639.0,treatment,new_page,0
528,2525200583,1356998639.0,treatment,new_page,0
529,5877491687,1356998639.0,treatment,new_page,0
530,7958534805,1356998640.0,treatment,new_page,1
533,7255814862,1356998641.0,control,old_page,1
531,9939157856,1356998641.0,treatment,new_page,0
532,5984377924,1356998641.0,control,old_page,0
535,2179435305,1356998643.0,control,old_page,1
534,4030179640,1356998643.0,treatment,new_page,0
536,7936020475,1356998644.0,treatment,new_page,0
537,7207142368,1356998644.0,treatment,new_page,0
538,2835117376,1356998645.0,treatment,new_page,0
539,469043406,1356998645.0,control,old_page,0
540,7105234929,1356998646.0,treatment,new_page,0
541,3008573758,1356998646.0,treatment,new_page,0
542,726704437,1356998646.0,treatment,new_page,0
543,6710612185,1356998646.0,control,old_page,0
544,8493056374,1356998646.0,control,old_page,1
545,6400953608,1356998646.0,control,old_page,0
548,8412250320,1356998647.0,control,old_page,0
547,1689660014,1356998647.0,treatment,new_page,0
546,6855925487,1356998647.0,treatment,new_page,0
549,8558146448,1356998648.0,treatment,new_page,0
550,9405982210,1356998648.0,treatment,new_page,0
551,6531318643,1356998650.0,treatment,new_page,0
552,1104076030,1356998650.0,treatment,new_page,0
553,7532963075,1356998651.0,treatment,new_page,0
554,2354216077,1356998651.0,control,old_page,0
555,5738423485,1356998651.0,control,old_page,1
556,2965386726,1356998651.0,control,old_page,0
557,6745957499,1356998651.0,control,old_page,0
558,3166950028,1356998651.0,control,old_page,0
559,5352672017,1356998652.0,control,old_page,1
560,8351953588,1356998653.0,treatment,new_page,0
561,85007322,1356998653.0,treatment,new_page,0
562,3224227647,1356998653.0,control,old_page,0
563,8092720250,1356998654.0,control,old_page,1
564,5572688619,1356998654.0,control,old_page,0
565,6775808630,1356998654.0,control,old_page,0
566,251505945,1356998655.0,treatment,new_page,0
567,1394542255,1356998655.0,control,old_page,0
568,5299291366,1356998655.0,control,old_page,0
569,6943462542,1356998656.0,treatment,new_page,0
570,458268037,1356998657.0,control,old_page,0
571,5925485340,1356998659.0,control,old_page,0
572,3884569702,1356998659.0,control,old_page,0
573,2991472648,1356998660.0,treatment,new_page,0
574,6115125450,1356998661.0,treatment,new_page,1
575,1780523397,1356998661.0,treatment,new_page,1
576,3459406956,1356998661.0,control,old_page,0
577,7209474174,1356998662.0,control,old_page,0
578,2901932634,1356998663.0,treatment,new_page,0
579,6949551590,1356998664.0,control,old_page,0
580,256968169,1356998665.0,treatment,new_page,1
581,6868014392,1356998666.0,treatment,new_page,0
582,3823867408,1356998667.0,treatment,new_page,0
583,9275328387,1356998667.0,control,old_page,0
584,1793581082,1356998668.0,control,old_page,1
585,775775290,1356998669.0,treatment,new_page,0
586,8236488809,1356998669.0,treatment,new_page,0
587,109096169,1356998669.0,control,old_page,0
588,7530570338,1356998669.0,control,old_page,0
589,3491108983,1356998670.0,treatment,new_page,1
596,1013374487,1356998672.0,control,old_page,0
595,6015254878,1356998672.0,control,old_page,0
594,5291478434,1356998672.0,control,old_page,0
592,4649447908,1356998672.0,treatment,new_page,0
591,6465104802,1356998672.0,treatment,new_page,0
590,8958409531,1356998672.0,treatment,new_page,0
593,3479655441,1356998672.0,treatment,new_page,0
597,4924771679,1356998673.0,treatment,new_page,0
598,1440428135,1356998674.0,treatment,new_page,0
599,5953576330,1356998674.0,treatment,new_page,0
600,733110735,1356998675.0,treatment,new_page,0
601,165610167,1356998676.0,treatment,new_page,0
605,9622844933,1356998677.0,control,old_page,0
604,6545440129,1356998677.0,control,old_page,0
603,5933670932,1356998677.0,control,old_page,0
602,9018479781,1356998677.0,control,old_page,0
606,6232389288,1356998678.0,treatment,new_page,0
